,0
0,285146238
1,8144637733
2,8144637732
3,8144637731
4,285146242
5,8144637730
6,8144619283
7,8144637729
8,285146245
9,1025801732
10,8144637728
11,1025801662
12,8144637727
13,1025801646
14,285146248
15,8144637723
16,8144637724
17,8144637722
18,8144637725
19,8144637726
20,1025801665
21,1025801730
22,8144637720
23,1025801680
24,8144637719
25,1025801739
26,1025801711
27,8144637721
28,285146251
29,8144637718
30,8144637717
31,8144619316
32,1025801641
33,8144619315
34,285146254
35,8144619314
36,8144619313
37,8144619312
38,1025801700
39,8144619311
40,8144619310
41,8144619299
42,285146257
43,8144619307
44,8144619306
45,8144619305
46,1025801686
47,8144619304
48,1025801676
49,8144619302
50,8144619301
51,8144619300
52,285146259
53,8144619303
54,8144619308
55,1025801629
56,8144619309
57,8144619296
58,8144619286
59,8144619284
60,8144619287
61,8144619285
62,8144619288
63,8144619289
64,8144619290
65,8144619291
66,8144619292
67,8144619295
68,8144619294
69,8144619297
70,8144619293
71,285146262
72,8144619298
73,285146265
74,8144637741
75,1025801660
76,8144637740
77,8144637739
78,8144637738
79,8144637737
80,8144637736
81,1025801747
82,8144637735
83,8144637734
84,285146238
85,3428542377
86,6585685488
87,6585685487
88,285911921
89,285911923
90,6585650676
91,285911925
92,2997536003
93,2997536004
94,2997536005
95,2997536006
96,2997536007
97,285911927
98,2997536008
99,2997536009
100,285911929
101,6585650677
102,6585650678
103,6585650679
104,2997536010
105,285911931
106,285911933
107,2997536011
108,2997536012
109,6585650680
110,6585675686
111,6585650684
112,6585675685
113,6585650683
114,6585650682
115,6585650681
116,2997536013
117,285911935
118,285911937
119,2997536014
120,285911939
121,285911940
122,285911941
123,6585683969
124,6585683970
125,6585683971
126,6585683972
127,6585683979
128,6585683978
129,6585683977
130,285911942
131,6585683976
132,6585683975
133,6585683974
134,6585683973
135,285911943
136,6585683980
137,285911889
138,6585683981
139,6585683982
140,6585683983
141,6585683984
142,285911890
143,285911892
144,6585685485
145,285911894
146,3428542373
147,1593055793
148,286515527
149,1589482334
150,1589482328
151,1593055897
152,1593055920
153,1593055922
154,1593055919
155,286515526
156,1588687187
157,1588745024
158,366549855
159,1588748905
160,1588748898
161,1588748887
162,1588748866
163,1588748864
164,366549858
165,1588766627
166,1588766629
167,1590957563
168,330783080
169,8122505590
170,1590957618
171,344482793
172,4378724316
173,344482794
174,4378724304
175,344482782
176,4378724302
177,344482795
178,4378724311
179,344482786
180,353875619
181,7752775424
182,7752775423
183,353875621
184,353875624
185,353875626
186,353875629
187,353875631
188,353875679
189,353875674
190,353875680
191,353875684
192,353875689
193,353875690
194,353875798
195,353875822
196,353875841
197,353875863
198,353875880
199,353875900
200,353875922
201,353875912
202,1740925077
203,7752775402
204,7752775398
205,353875943
206,353875961
