,lat_from,lon_from,lat_to,lon_to
0,53.6723423,91.5801215,53.6721866,91.5803093
1,53.6721866,91.5803093,53.6720467,91.5806150
2,53.6720467,91.5806150,53.6719991,91.5809154
3,53.6719991,91.5809154,53.6720245,91.5812963
4,53.6720245,91.5812963,53.6720626,91.5814465
5,53.6720626,91.5814465,53.6721643,91.5816396
6,53.6721643,91.5816396,53.6729143,91.5827233
7,53.6729143,91.5827233,53.6731240,91.5829378
8,53.6731240,91.5829378,53.6734799,91.5831792
9,53.6734799,91.5831792,53.6738676,91.5833563
10,53.6738676,91.5833563,53.6743062,91.5836459
11,53.6743062,91.5836459,53.6747669,91.5838659
12,53.6747669,91.5838659,53.6751896,91.5839463
13,53.6751896,91.5839463,53.6760412,91.5839571
14,53.6760412,91.5839571,53.6762286,91.5839249
15,53.6762286,91.5839249,53.6763526,91.5838739
16,53.6763526,91.5838739,53.6763939,91.5838551
17,53.6763939,91.5838551,53.6764288,91.5837961
18,53.6764288,91.5837961,53.6764400,91.5837425
19,53.6764400,91.5837425,53.6764352,91.5836406
20,53.6764352,91.5836406,53.6763780,91.5835467
21,53.6763780,91.5835467,53.6763256,91.5834796
22,53.6763256,91.5834796,53.6762986,91.5833724
23,53.6762986,91.5833724,53.6762986,91.5832919
24,53.6762986,91.5832919,53.6763113,91.5832087
25,53.6763113,91.5832087,53.6764066,91.5830532
26,53.6764066,91.5830532,53.6765544,91.5828252
27,53.6765544,91.5828252,53.6768117,91.5825543
28,53.6768117,91.5825543,53.6772772,91.5821439
29,53.6772772,91.5821439,53.6775886,91.5819669
30,53.6775886,91.5819669,53.6778683,91.5818596
31,53.6778683,91.5818596,53.6781797,91.5818167
32,53.6781797,91.5818167,53.6786849,91.5818274
33,53.6786849,91.5818274,53.6791361,91.5817952
34,53.6791361,91.5817952,53.6795745,91.5817362
35,53.6795745,91.5817362,53.6801179,91.5815806
36,53.6801179,91.5815806,53.6804261,91.5814197
37,53.6804261,91.5814197,53.6807184,91.5812963
38,53.6807184,91.5812963,53.6810837,91.5811783
39,53.6810837,91.5811783,53.6814841,91.5811193
40,53.6814841,91.5811193,53.6818113,91.5811247
41,53.6818113,91.5811247,53.6820528,91.5811676
